Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
Samsung Galaxy M11 ,12869,4.2,5097,4,64,16.26,13,0.729842829223176
Nokia 3310 DS,0,0,0,0,0,0,0,-1
Samsung Guru FM Plus,0,0,0,0,0,0,0,-1
Tecno Camon 15 ,10499,4.2,6052,4,64,16.64,48,0.671319991110487
POCO X2 ,17499,4.5,221510,6,64,16.94,64,0.800403395374823
Tecno Camon 15 ,10499,4.2,6052,4,64,16.64,48,0.76459336175034
Samsung Galaxy M11 ,10150,4.2,8271,3,32,16.26,13,0.612165357139736
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.837747653790776
Redmi 8A Dual ,8435,4.2,9523,3,32,15.8,13,0.617190308815697
Lava A5,0,0,0,0,0,0,0,-1
Lava A5,0,0,0,0,0,0,0,-1
OPPO F17 Pro ,22990,4.4,3889,8,128,16.33,48,0.799447996218026
Honor 9S ,6499,3.9,16403,2,32,13.84,8,0.639775969420567
I Kall K 48,649,3.7,2421,0.032,0.064,4.57,0,0.845676282341159
Lava A5,0,0,0,0,0,0,0,-1
Lava A5,0,0,0,0,0,0,0,-1
OPPO A53 ,15490,4.2,2192,6,128,16.51,13,0.612612701298069
OPPO A53 ,12990,4.3,11178,4,64,16.51,13,0.699713217817527
OPPO A12 ,9490,4.3,18030,3,32,15.8,13,0.713462705601026
I kall K 444,999,3.7,844,0.032,0.064,6.1,0,0.723768231851247
Redmi Note 9 ,12449,4.3,9390,4,64,16.59,48,0.781392677762797
Redmi Note 9 ,12389,4.3,9390,4,64,16.59,48,0.723882959089813
Redmi Note 9 ,14799,4.3,9390,4,128,16.59,48,0.743597613747997
Redmi Note 9 ,12799,4.3,9390,4,64,16.59,48,0.732537411404033
Micromax X750,1299,4.1,969,0.032,0.032,6.1,0,0.604348047662712
Nokia 110 DS 2020,0,0,0,0,0,0,0,-1
Kechaoda K112,0,0,0,0,0,0,0,-1
Vivo V20 ,27990,4.3,12809,8,256,16.36,64,0.642728670750326
Kechaoda K112,0,0,0,0,0,0,0,-1
Vivo S1 Pro ,18990,4.4,22548,8,128,16.21,48,0.655811146338421
Apple iPhone SE ,40900,4.6,72791,0,128,11.94,12,0.65158256037847
Redmi 9A ,7276,4.3,3585,2,32,16.59,13,0.703622071820115
Redmi 9A ,7954,4.2,1418,3,32,16.59,13,0.84732008465783
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.800195816197356
Nokia 150 DS 2020,0,0,0,0,0,0,0,-1
Micromax X746,1308,4,9176,0.032,0.032,6.1,0,0.836898075058844
Micromax X746,1349,4,9176,0.032,0.032,6.1,0,0.743851206133353
Lava One,0,0,0,0,0,0,0,-1
Nokia 110 DS 2020,0,0,0,0,0,0,0,-1
Redmi Note 9 Pro Max ,17900,4.4,465,6,64,16.94,64,0.844089755990052
Redmi 9 ,10983,4.2,424,4,128,16.59,13,0.83377623270496
Kechaoda K115,0,0,0,0,0,0,0,-1
BlackZone B-350,619,4.1,128,0.064,0.064,4.57,0,0.756353837498886
OPPO A9 2020 ,17990,4.3,48338,8,128,16.51,48,0.601024034685497
Snexian Rock,1285,3.9,6876,0.032,0.032,4.32,0,0.756329256019954
BlackZone B310,639,3.9,329,0.01,0.01,4.57,0,0.674540560249949
Snexian Rock,1349,3.9,6876,0.032,0.032,4.32,0,0.82607044288586
Snexian Rock,1285,3.9,6876,0.032,0.032,4.32,0,0.848027937873666
Lava Z66 ,0,0,0,0,0,0,0,-1
Nokia 106,0,0,0,0,0,0,0,-1
Nokia 5310,0,0,0,0,0,0,0,-1
Nokia 105 DS 2020,0,0,0,0,0,0,0,-1
Vivo V20 ,24990,4.3,12809,8,128,16.36,64,0.612274324739549
Vivo V20 ,24990,4.3,12809,8,128,16.36,64,0.619940052805501
Realme X3 SuperZoom ,34999,4.2,1395,12,256,16.69,64,0.726259799047011
Redmi 9 ,9872,4.2,4463,4,64,16.59,13,0.694728559271374
Good One Magic,1399,4,1344,0.032,0.032,4.32,2,0.835030183473084
OPPO A12 ,9490,4.3,18030,3,32,15.8,13,0.622724606131533
OPPO A12 ,11490,4.3,5292,4,64,15.8,13,0.641734234967418
OPPO A12 ,11490,4.3,5292,4,64,15.8,13,0.710706866829316
Samsung Galaxy M31 ,16990,4.3,4402,6,64,16.26,64,0.795599829234013
Redmi 8A Dual ,8799,4.2,9523,3,64,15.8,13,0.623308306857166
OPPO A11K ,8490,4.2,4247,2,32,15.8,13,0.677688078912755
Vivo Z1Pro ,17990,4.5,155522,6,128,16.59,16,0.723310346498189
Kechaoda K115,0,0,0,0,0,0,0,-1
Lava A9,0,0,0,0,0,0,0,-1
Tecno Camon 15 ,10499,4.2,6053,4,64,16.64,48,0.658535347595763
Redmi Note 9 Pro Max ,16340,4.4,2846,6,64,16.94,64,0.760499706354428
Realme 6 Pro ,17999,4.4,54415,6,64,16.76,64,0.834956044650877
Redmi Note 9 Pro ,15384,4.3,6554,4,128,16.94,48,0.659410901811005
Redmi Note 9 ,16698,4.4,1407,6,128,16.59,48,0.799686356644242
Samsung Galaxy A70s ,17999,4.3,1988,6,128,17.02,64,0.793110305143819
Lava Pulse Mobile Phone-With BP & Heart Rate Monitor,0,0,0,0,0,0,0,-1
Lava A7 2020,0,0,0,0,0,0,0,-1
Nokia 125,0,0,0,0,0,0,0,-1
Honor 9S ,6499,3.9,16403,2,32,13.84,8,0.642283561455954
Lava A1 super,0,0,0,0,0,0,0,-1
Lava A1 super,0,0,0,0,0,0,0,-1
OPPO A11K ,8490,4.2,4247,2,32,15.8,13,0.792217838278335
Redmi Note 9 ,14599,4.3,9390,4,128,16.59,48,0.830001465039887
OPPO A53 ,12990,4.3,11178,4,64,16.51,13,0.714328130749058
Redmi 8A Dual ,9245,4.2,9523,3,64,15.8,13,0.750214428960808
Lava A5,0,0,0,0,0,0,0,-1
Redmi Note 9 ,16698,4.4,1407,6,128,16.59,48,0.554569633692164
Nokia 3310 DS,0,0,0,0,0,0,0,-1
Samsung Galaxy M01s  ,9989,4.2,218,3,32,15.75,13,0.741604807826909
Nokia 125,0,0,0,0,0,0,0,-1
OPPO Reno3 Pro ,29990,4.4,3054,8,256,16.26,64,0.65183056854818
Samsung Galaxy A51 ,22999,4.3,7200,6,128,16.51,48,0.655131786334686
OPPO A11K ,8490,4.2,4247,2,32,15.8,13,0.682351556734155
Lava A5,0,0,0,0,0,0,0,-1
Lava A5,0,0,0,0,0,0,0,-1
Micromax X512,934,3.9,4853,0.056,0.024,4.5,0,0.673381621231332
Lava A5,0,0,0,0,0,0,0,-1
Redmi 8A Dual ,9245,4.2,9523,3,64,15.8,13,0.737603996504248
